domain,status,ttl_seconds
doe.ooo,taken,578254
dom.ooo,taken,584154
dominic.ooo,taken,585486
dominik.ooo,taken,585475
domino.ooo,taken,583989
donovan.ooo,taken,584175
drei.ooo,taken,581585
drew.ooo,taken,583135
drs.ooo,taken,553764
duda.ooo,taken,580541
duilio.ooo,taken,570432
duke.ooo,taken,581897
dupont.ooo,taken,577756
dustin.ooo,taken,583132
ech.ooo,taken,577730
echo.ooo,taken,584439
eda.ooo,taken,581801
edel.ooo,taken,578799
eden.ooo,taken,583513
edit.ooo,taken,579118
edmund.ooo,taken,584362
edoardo.ooo,taken,584190
efe.ooo,taken,552878
eik.ooo,taken,553963
ej.ooo,taken,581534
eko.ooo,taken,580653
ela.ooo,taken,581771
elias.ooo,taken,584907
eliza.ooo,taken,584745
elle.ooo,taken,583244
elliott.ooo,taken,581409
elmas.ooo,taken,585604
els.ooo,taken,582242
emi.ooo,taken,584104
emma.ooo,taken,584275
emmy.ooo,taken,582271
ems.ooo,taken,581640
emz.ooo,taken,581631
eng.ooo,taken,579673
enn.ooo,taken,579011
eno.ooo,taken,581168
enzo.ooo,taken,584914
era.ooo,taken,581161
ergo.ooo,taken,578953
eri.ooo,taken,585689
erica.ooo,taken,584979
erik.ooo,taken,584682
erin.ooo,taken,583189
erma.ooo,taken,581653
esi.ooo,taken,581187
esperance.ooo,taken,584833
ethan.ooo,taken,584368
eugene.ooo,taken,585431
eugenie.ooo,taken,585168
eva.ooo,taken,584278
evelyn.ooo,taken,584961
everaldo.ooo,taken,580607
exe.ooo,taken,579154
fabi.ooo,taken,585014
fabian.ooo,taken,585477
fabio.ooo,taken,584689
fan.ooo,taken,584341
fat.ooo,taken,584351
fedi.ooo,taken,582533
ferat.ooo,taken,551756
fernand.ooo,taken,585117
fernandes.ooo,taken,580461
file.ooo,taken,581146
fin.ooo,taken,578925
firas.ooo,taken,583673
firma.ooo,taken,554157
fish.ooo,taken,584357
flick.ooo,taken,577787
floo.ooo,taken,559538
florine.ooo,taken,585188
foo.ooo,taken,580675
formosa.ooo,taken,580429
fran.ooo,taken,584905
francesco.ooo,taken,584178
frank.ooo,taken,584656
fred.ooo,taken,584118
frederic.ooo,taken,585094
ft.ooo,taken,580902
fuchs.ooo,taken,577753
gaas.ooo,taken,579804
gabriel.ooo,taken,584900
garo.ooo,taken,553107
gea.ooo,taken,582260
gem.ooo,taken,581625
gent.ooo,taken,581110
georg.ooo,taken,585477
george.ooo,taken,584214
gerardo.ooo,taken,584905
geronimo.ooo,taken,584563
gerry.ooo,taken,584235
getnet.ooo,taken,551119
gil.ooo,taken,583709
gin.ooo,taken,579778
gio.ooo,taken,584204
git.ooo,taken,581061
giuli.ooo,taken,579103
gogo.ooo,taken,582389
goh.ooo,taken,580663
gold.ooo,taken,550516
gord.ooo,taken,583146
gordon.ooo,taken,584345
grace.ooo,taken,584403
graf.ooo,taken,577741
graham.ooo,taken,583132
grant.ooo,taken,583136
greg.ooo,taken,584131
gu.ooo,taken,581887
guido.ooo,taken,584914
gun.ooo,taken,583387
gunnar.ooo,taken,583258
hako.ooo,taken,582434
hana.ooo,taken,584000
hank.ooo,taken,581892
hansen.ooo,taken,581916
hanson.ooo,taken,581896
hao.ooo,taken,581874
happy.ooo,taken,584351
hari.ooo,taken,580190
harish.ooo,taken,580063
harper.ooo,taken,581862
harry.ooo,taken,583125
haru.ooo,taken,585662
harvey.ooo,taken,583172
hay.ooo,taken,582570
hayden.ooo,taken,584383
hee.ooo,taken,580681
hein.ooo,taken,582203
helio.ooo,taken,585645
hermes.ooo,taken,584706
hiro.ooo,taken,585617
holiday.ooo,taken,581844
hoor.ooo,taken,580129
horvath.ooo,taken,551590
huat.ooo,taken,580714
hugo.ooo,taken,584902
hunter.ooo,taken,583167
huy.ooo,taken,553850
hyundai.ooo,taken,580688
ia.ooo,taken,580971
ibo.ooo,taken,585527
iboo.ooo,taken,554320
ideal.ooo,taken,551718
ido.ooo,taken,583486
ilan.ooo,taken,583488
immo.ooo,taken,581295
imogen.ooo,taken,581499
ina.ooo,taken,584308
ion.ooo,taken,584209
irina.ooo,taken,585447
iro.ooo,taken,583565
isaac.ooo,taken,584912
iskra.ooo,taken,580371
ita.ooo,taken,579773
ito.ooo,taken,585649
ivan.ooo,taken,585421
ivo.ooo,taken,584213
jack.ooo,taken,584329
jaco.ooo,taken,582668
jacob.ooo,taken,583728
jacques.ooo,taken,585078
jad.ooo,taken,582357
jadran.ooo,taken,577668
jah.ooo,taken,579347
jan.ooo,taken,583951
janek.ooo,taken,583970
jansen.ooo,taken,581589
jared.ooo,taken,583711
jason.ooo,taken,584325
jaume.ooo,taken,577452
jeff.ooo,taken,584336
jeffry.ooo,taken,551318
jesse.ooo,taken,583121
jester.ooo,taken,581581
jet.ooo,taken,582205
jewel.ooo,taken,579680
jho.ooo,taken,581614
jiawei.ooo,taken,581895
jir.ooo,taken,583999
joa.ooo,taken,579114
joao.ooo,taken,584708
joe.ooo,taken,584326
jon.ooo,taken,583257
joni.ooo,taken,581233
josh.ooo,taken,583118
joy.ooo,taken,583071
joyce.ooo,taken,584404
jude.ooo,taken,585106
juho.ooo,taken,581234
julien.ooo,taken,585098
junior.ooo,taken,585074
jur.ooo,taken,582236
just.ooo,taken,583984
justin.ooo,taken,585080
kairi.ooo,taken,578997
kak.ooo,taken,579570
kalina.ooo,taken,580361
kama.ooo,taken,554131
karen.ooo,taken,584958
karim.ooo,taken,584212
karuna.ooo,taken,580128
kay.ooo,taken,584417
kayla.ooo,taken,583193
kaz.ooo,taken,585647
kazi.ooo,taken,580078
kee.ooo,taken,584375
kei.ooo,taken,585615
kels.ooo,taken,578498
kem.ooo,taken,579378
kenji.ooo,taken,585611
keno.ooo,taken,579363
kent.ooo,taken,584348
kev.ooo,taken,584172
key.ooo,taken,584462
kia.ooo,taken,581327
kian.ooo,taken,581424
kien.ooo,taken,553873
kiki.ooo,taken,584414
kiko.ooo,taken,584384
king.ooo,taken,584331
kirby.ooo,taken,581572
kis.ooo,taken,553936
kiyo.ooo,taken,585682
klein.ooo,taken,577714
koenig.ooo,taken,577749
kohinoor.ooo,taken,550111
koko.ooo,taken,582422
kolos.ooo,taken,551611
kong.ooo,taken,584339
